"YEAR","JURISDICTION","LOCATION","FINES","ARRESTS","CHARGES"
"2024","NSW","Inner Regional Australia",2451,0,9
"2024","NSW","Inner Regional Australia",2385,0,6
"2024","NSW","Inner Regional Australia",569,0,1
"2024","SA","Inner Regional Australia",15,0,0
"2024","SA","Inner Regional Australia",125,0,0
"2024","SA","Inner Regional Australia",262,0,2
"2024","SA","Inner Regional Australia",61,0,0
"2024","SA","Inner Regional Australia",371,0,0
"2024","SA","Inner Regional Australia",486,1,4
"2024","SA","Inner Regional Australia",74,0,0
"2024","SA","Inner Regional Australia",651,0,0
"2024","SA","Inner Regional Australia",652,3,2
"2024","SA","Inner Regional Australia",19,0,0
"2024","SA","Inner Regional Australia",253,0,0
"2024","SA","Inner Regional Australia",215,0,0
"2024","SA","Inner Regional Australia",7,0,0
"2024","SA","Inner Regional Australia",28,0,0
"2024","SA","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",78,0,0
"2024","VIC","Inner Regional Australia",526,0,0
"2024","VIC","Inner Regional Australia",259,0,0
"2024","VIC","Inner Regional Australia",1588,0,0
"2024","VIC","Inner Regional Australia",511,0,0
"2024","VIC","Inner Regional Australia",2751,0,0
"2024","VIC","Inner Regional Australia",221,0,0
"2024","VIC","Inner Regional Australia",1267,0,0
"2024","VIC","Inner Regional Australia",29,0,0
"2024","VIC","Inner Regional Australia",117,0,0
"2024","NSW","Inner Regional Australia",7,0,0
"2024","NSW","Inner Regional Australia",1347,0,12
"2024","NSW","Inner Regional Australia",2163,0,4
"2024","NSW","Inner Regional Australia",2318,0,12
"2024","NSW","Inner Regional Australia",494,0,0
"2024","SA","Inner Regional Australia",45,0,0
"2024","SA","Inner Regional Australia",129,0,0
"2024","SA","Inner Regional Australia",202,1,1
"2024","SA","Inner Regional Australia",86,0,0
"2024","SA","Inner Regional Australia",357,0,0
"2024","SA","Inner Regional Australia",349,0,2
"2024","SA","Inner Regional Australia",87,0,0
"2024","SA","Inner Regional Australia",640,0,0
"2024","SA","Inner Regional Australia",515,0,4
"2024","SA","Inner Regional Australia",35,0,0
"2024","SA","Inner Regional Australia",240,0,0
"2024","SA","Inner Regional Australia",166,0,0
"2024","SA","Inner Regional Australia",14,0,0
"2024","SA","Inner Regional Australia",34,0,0
"2024","SA","Inner Regional Australia",4,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",123,0,0
"2024","VIC","Inner Regional Australia",546,0,0
"2024","VIC","Inner Regional Australia",473,0,0
"2024","VIC","Inner Regional Australia",1838,0,0
"2024","VIC","Inner Regional Australia",764,0,0
"2024","VIC","Inner Regional Australia",2928,0,0
"2024","VIC","Inner Regional Australia",370,0,0
"2024","VIC","Inner Regional Australia",1430,0,0
"2024","VIC","Inner Regional Australia",21,0,0
"2024","VIC","Inner Regional Australia",76,0,0
"2024","NSW","Inner Regional Australia",3,0,2
"2024","NSW","Inner Regional Australia",1299,0,21
"2024","NSW","Inner Regional Australia",1937,0,9
"2024","NSW","Inner Regional Australia",2096,0,8
"2024","NSW","Inner Regional Australia",527,0,0
"2024","SA","Inner Regional Australia",29,0,0
"2024","SA","Inner Regional Australia",90,0,0
"2024","SA","Inner Regional Australia",174,0,3
"2024","SA","Inner Regional Australia",70,0,0
"2024","SA","Inner Regional Australia",288,0,0
"2024","SA","Inner Regional Australia",330,0,1
"2024","SA","Inner Regional Australia",84,0,0
"2024","SA","Inner Regional Australia",570,0,0
"2024","SA","Inner Regional Australia",459,1,2
"2024","SA","Inner Regional Australia",17,0,0
"2024","SA","Inner Regional Australia",300,0,0
"2024","SA","Inner Regional Australia",144,0,1
"2024","SA","Inner Regional Australia",20,0,0
"2024","SA","Inner Regional Australia",23,0,0
"2024","SA","Inner Regional Australia",3,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",82,0,0
"2024","VIC","Inner Regional Australia",677,0,0
"2024","VIC","Inner Regional Australia",299,0,0
"2024","VIC","Inner Regional Australia",2046,0,0
"2024","VIC","Inner Regional Australia",572,0,0
"2024","VIC","Inner Regional Australia",3331,0,0
"2024","VIC","Inner Regional Australia",292,0,0
"2024","VIC","Inner Regional Australia",1547,0,0
"2024","VIC","Inner Regional Australia",30,0,0
"2024","VIC","Inner Regional Australia",140,0,0
"2024","NSW","Inner Regional Australia",5,0,6
"2024","NSW","Inner Regional Australia",1564,0,14
"2024","NSW","Inner Regional Australia",2374,0,14
"2024","NSW","Inner Regional Australia",2544,0,19
"2024","NSW","Inner Regional Australia",636,0,0
"2024","SA","Inner Regional Australia",41,0,0
"2024","SA","Inner Regional Australia",68,0,0
"2024","SA","Inner Regional Australia",183,0,2
"2024","SA","Inner Regional Australia",108,0,0
"2024","SA","Inner Regional Australia",193,0,0
"2024","SA","Inner Regional Australia",312,0,1
"2024","SA","Inner Regional Australia",122,0,0
"2024","SA","Inner Regional Australia",354,0,0
"2024","SA","Inner Regional Australia",399,0,3
