"JURISDICTION","LOCATION","AGE_GROUP","FINES","ARRESTS","CHARGES","FINES_log"
"VIC","Inner Regional Australia","40-64",882,0,0,2.945960703577568
"VIC","Inner Regional Australia","40-64",3176,0,0,3.502017214827147
"VIC","Inner Regional Australia","65 and over",377,0,0,2.577491799837225
"VIC","Inner Regional Australia","65 and over",1306,0,0,3.116275587580544
"VIC","Inner Regional Australia","Unknown",32,0,0,1.5185139398778873
"VIC","Inner Regional Australia","Unknown",119,0,0,2.0791812460476247
"VIC","Major Cities of Australia","0-16",0,0,0,0
"VIC","Major Cities of Australia","0-16",0,0,0,0
"VIC","Major Cities of Australia","17-25",3335,0,0,3.5232260419657004
"VIC","Major Cities of Australia","17-25",2263,0,0,3.3548764225162335
"VIC","Major Cities of Australia","26-39",12612,0,0,4.100818395731536
"VIC","Major Cities of Australia","26-39",8905,0,0,3.9496826907952034
"VIC","Major Cities of Australia","40-64",21894,0,0,4.340344949528144
"VIC","Major Cities of Australia","40-64",13426,0,0,4.127978988916909
"VIC","Major Cities of Australia","65 and over",6792,0,0,3.832061614590727
"VIC","Major Cities of Australia","65 and over",4162,0,0,3.6194064108867767
"VIC","Major Cities of Australia","Unknown",1063,0,0,3.026941627959029
"VIC","Major Cities of Australia","Unknown",625,0,0,2.796574333210429
"VIC","Outer Regional Australia","0-16",0,0,0,0
"VIC","Outer Regional Australia","0-16",0,0,0,0
"VIC","Outer Regional Australia","17-25",5,0,0,0.7781512503836435
"VIC","Outer Regional Australia","17-25",101,0,0,2.008600171761917
"VIC","Outer Regional Australia","26-39",7,0,0,0.9030899869919434
"VIC","Outer Regional Australia","26-39",354,0,0,2.5502283530550938
"VIC","Outer Regional Australia","40-64",19,0,0,1.301029995663981
"VIC","Outer Regional Australia","40-64",636,0,0,2.80413943233535
"VIC","Outer Regional Australia","65 and over",6,0,0,0.8450980400142567
"VIC","Outer Regional Australia","65 and over",231,0,0,2.3654879848908994
"VIC","Outer Regional Australia","Unknown",1,0,0,0.30102999566398114
"VIC","Outer Regional Australia","Unknown",23,0,0,1.380211241711606
"VIC","Remote Australia","0-16",0,0,0,0
"VIC","Remote Australia","0-16",0,0,0,0
"VIC","Remote Australia","17-25",0,0,0,0
"VIC","Remote Australia","17-25",0,0,0,0
"VIC","Remote Australia","26-39",0,0,0,0
"VIC","Remote Australia","26-39",0,0,0,0
"VIC","Remote Australia","40-64",0,0,0,0
"VIC","Remote Australia","40-64",1,0,0,0.30102999566398114
"VIC","Remote Australia","65 and over",0,0,0,0
"VIC","Remote Australia","65 and over",0,0,0,0
"VIC","Remote Australia","Unknown",0,0,0,0
"VIC","Remote Australia","Unknown",0,0,0,0
"VIC","Unknown","0-16",0,0,0,0
"VIC","Unknown","0-16",0,0,0,0
"VIC","Unknown","0-16",2,0,0,0.47712125471966244
"VIC","Unknown","17-25",702,0,0,2.846955325019824
"VIC","Unknown","17-25",0,0,0,0
"VIC","Unknown","17-25",2207,0,0,3.343999069057161
"VIC","Unknown","26-39",1686,0,0,3.227115082589125
"VIC","Unknown","26-39",0,0,0,0
"VIC","Unknown","26-39",3920,0,0,3.593396842300206
"VIC","Unknown","40-64",2198,0,0,3.34222522936079
"VIC","Unknown","40-64",0,0,0,0
"VIC","Unknown","40-64",4556,0,0,3.6586790285824486
"VIC","Unknown","65 and over",487,0,0,2.6884198220027105
"VIC","Unknown","65 and over",0,0,0,0
"VIC","Unknown","65 and over",979,0,0,2.9912260756924947
"VIC","Unknown","Unknown",118,0,0,2.0755469613925306
"VIC","Unknown","Unknown",0,0,0,0
"VIC","Unknown","Unknown",7,0,0,0.9030899869919434
"WA","Unknown","0-16",1,0,0,0.30102999566398114
"WA","Unknown","0-16",9,0,0,1
"WA","Unknown","0-16",13,0,0,1.1461280356782377
"WA","Unknown","0-16",5,0,0,0.7781512503836435
"WA","Unknown","17-25",174,0,0,2.2430380486862944
"WA","Unknown","17-25",833,0,0,2.9211660506377384
"WA","Unknown","17-25",3729,0,0,3.5717088318086874
"WA","Unknown","17-25",1046,0,0,3.0199466816788423
"WA","Unknown","17-25",737,0,0,2.8680563618230415
"WA","Unknown","26-39",416,0,0,2.620136054973757
"WA","Unknown","26-39",2838,0,0,3.453165392525857
"WA","Unknown","26-39",10520,0,0,4.0220570206011645
"WA","Unknown","26-39",2140,0,0,3.330616667294438
"WA","Unknown","26-39",2912,0,0,3.464340484627667
"WA","Unknown","40-64",522,0,0,2.718501688867274
"WA","Unknown","40-64",4244,0,0,3.6278776945799716
"WA","Unknown","40-64",14344,0,0,4.156700552582016
"WA","Unknown","40-64",2419,0,0,3.3838153659804306
"WA","Unknown","40-64",6352,0,0,3.8029788553352613
"WA","Unknown","65 and over",82,0,0,1.919078092376074
"WA","Unknown","65 and over",1136,0,0,3.0557604646877348
"WA","Unknown","65 and over",3538,0,0,3.5488805626375144
"WA","Unknown","65 and over",431,0,0,2.635483746814912
"WA","Unknown","65 and over",2129,0,0,3.328379603438737
"ACT","Major Cities of Australia","0-16",3,0,0,0.6020599913279623
"ACT","Major Cities of Australia","0-16",4,0,0,0.6989700043360187
"ACT","Major Cities of Australia","17-25",449,0,0,2.6532125137753435
"ACT","Major Cities of Australia","17-25",319,0,0,2.505149978319906
"ACT","Major Cities of Australia","17-25",48,0,0,1.6901960800285134
"ACT","Major Cities of Australia","26-39",991,0,0,2.996511672154178
"ACT","Major Cities of Australia","26-39",745,0,0,2.872738827472668
"ACT","Major Cities of Australia","26-39",68,1,5,1.8388490907372552
"ACT","Major Cities of Australia","40-64",1756,0,0,3.2447717614952944
"ACT","Major Cities of Australia","40-64",870,0,0,2.940018155007663
